d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
36000,Guanajuato Centro,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,0001,Urbano,05
36003,Alameda,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,4455,Urbano,05
36010,Cata,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,0006,Urbano,05
36010,Mellado,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,0007,Urbano,05
36010,Garrapata,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7158,Urbano,05
36013,Cerro de San Antonio,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7137,Urbano,05
36013,La Gualdra,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7165,Urbano,05
36013,San Luisito,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7189,Urbano,05
36014,San Clemente,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,0027,Urbano,05
36014,Ex-Hacienda de Durán,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7155,Urbano,05
36014,Ex-Hacienda de Luna,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7156,Urbano,05
36014,Nuevo,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,,09,015,7178,Urbano,05
